"Task","Variant","Inductive bias","Integration into DP training","Additional objective beyond action diffusion"
"All tasks","B0","Standard Diffusion Policy","Raw-state conditioning; predict world-frame xyz actions and gripper commands.","Action diffusion loss only."
"Pick-and-place over a wall","P1","Factorized task geometry","Encode world, grasp, goal, and wall-clearance features in four branches; fuse them to condition one denoiser.","None."
"Pick-and-place over a wall","P2","Task-stage progression","Predict four stage probabilities from observations; their soft embedding conditions the shared denoiser.","+ 0.20 stage cross-entropy."
"Pick-and-place over a wall","P3","Future motion and obstacle geometry","Use P1's encoder; jointly diffuse actions + future hand/object displacements (4 + 6 channels); supervise reconstructed clearance and hand–object separation.","+ 0.25 future-noise MSE + ramped 0.05 geometry loss."
"Nut assembly","P1","Grasp and insertion relations","Add hand–handle, hand–ring, ring–goal and handle–ring relations, alignment errors, and motion features.","None."
"Nut assembly","P2","Transport-aligned coordinates","Express positional observations and action xyz in a ring-centered, goal-aligned horizontal frame; retain world z and absolute anchors.","None; action targets change coordinates."
"Nut assembly","P3","Task stages and future relations","Use P1 features with a shared encoder; predicted stage probabilities condition DP; a separate head predicts relations at +4 and +16 steps.","Ramped: + 0.10 stage cross-entropy + 0.05 future-relation Smooth L1."
"Drawer opening","P1","Cabinet-aligned coordinates","Use current-handle-anchored cabinet coordinates and relative motion; rotate action xyz to cabinet axes; retain world anchors.","None; observation and action representations change."
"Drawer opening","P2","Future rail progress","Use world relational inputs/actions; jointly diffuse actions with future remaining rail distance (4 + 1 channels).","+ 0.25 future-noise MSE."
"Drawer opening","P3","Cabinet frame and future interaction geometry","Use P1 coordinates/actions; jointly diffuse future local hand–handle gap and remaining rail distance (4 + 4 channels).","+ 0.25 future-noise MSE."
"Door opening","P1","Cabinet-relative contact geometry","Append cabinet-frame relations, motion and door direction to raw state; rotate action xyz into cabinet coordinates.","None; observation and action representations change."
"Door opening","P2","Future door interaction geometry","Use world-frame conditioning/actions; jointly diffuse future handle displacement, hand–handle gap and door direction (4 + 8 channels).","+ 0.20 future-noise MSE."
"Door opening","P3","Cabinet frame and future geometry","Combine P1 conditioning/actions with P2's eight future channels expressed in cabinet coordinates (4 + 8 channels).","+ 0.20 future-noise MSE."
"Side peg insertion","P1","Explicit grasp and insertion geometry","Append grasp–hand, goal–peg-head and other relations, motion features, and transverse alignment errors; retain world actions.","None."
"Side peg insertion","P2","Future peg motion and grasp relations","Use raw-state conditioning; jointly diffuse world actions, future peg-head displacement and grasp–hand gap (4 + 6 channels).","+ 0.20 future-noise MSE."
"Side peg insertion","P3","Relations and future supervision","Combine P1's relation features with P2's joint action/future-relation diffusion (4 + 6 channels).","+ 0.20 future-noise MSE."
"Side peg insertion","P4","Hand-relative coordinate revision","Retain P1 relations; replace four retained position blocks with hand-relative values. Absolute hand context remains; world actions are unchanged.","None; trained from scratch only at N = 5 and 20."
"Stick pushing","P1","Hand–tool–object–goal relations","Add pairwise hand/stick/container/goal displacements and hand/stick/container motion features; retain world actions.","None."
"Stick pushing","P2","Goal-aligned tool-use coordinates","Express positional features and action xyz in a container-centered, goal-aligned horizontal frame; retain world z and frame context.","None; action targets change coordinates."
"Stick pushing","P3","Coupled hand–tool–object motion","Use P1 relations; jointly diffuse actions and future hand, stick and container displacements (4 + 9 channels).","+ 0.15 future-noise MSE."

