claim_id,kind,statement,evidence,limitation
result_naive_DP_ID,Measured outcome,"17 confirmed successes, 150 complete outcomes and 0 unknown among 150 planned ID layouts for naive_DP.",tables/aggregate.csv; tables/episodes.csv; results.json,One training replicate; later studies use previously examined paired layouts.
result_naive_DP_OOD,Measured outcome,"0 confirmed successes, 150 complete outcomes and 0 unknown among 150 planned OOD layouts for naive_DP.",tables/aggregate.csv; tables/episodes.csv; results.json,One training replicate; later studies use previously examined paired layouts.
result_SinglePrior_6_xhigh_ID,Measured outcome,"110 confirmed successes, 150 complete outcomes and 0 unknown among 150 planned ID layouts for SinglePrior_6_xhigh.",tables/aggregate.csv; tables/episodes.csv; results.json,One training replicate; later studies use previously examined paired layouts.
result_SinglePrior_6_xhigh_OOD,Measured outcome,"16 confirmed successes, 150 complete outcomes and 0 unknown among 150 planned OOD layouts for SinglePrior_6_xhigh.",tables/aggregate.csv; tables/episodes.csv; results.json,One training replicate; later studies use previously examined paired layouts.
result_APPL_5_5_high_ID,Measured outcome,"130 confirmed successes, 149 complete outcomes and 1 unknown among 150 planned ID layouts for APPL_5_5_high.",tables/aggregate.csv; tables/episodes.csv; results.json,One training replicate; later studies use previously examined paired layouts.
result_APPL_5_5_high_OOD,Measured outcome,"50 confirmed successes, 150 complete outcomes and 0 unknown among 150 planned OOD layouts for APPL_5_5_high.",tables/aggregate.csv; tables/episodes.csv; results.json,One training replicate; later studies use previously examined paired layouts.
result_APPL_6_xhigh_ID,Measured outcome,"124 confirmed successes, 150 complete outcomes and 0 unknown among 150 planned ID layouts for APPL_6_xhigh.",tables/aggregate.csv; tables/episodes.csv; results.json,One training replicate; later studies use previously examined paired layouts.
result_APPL_6_xhigh_OOD,Measured outcome,"73 confirmed successes, 150 complete outcomes and 0 unknown among 150 planned OOD layouts for APPL_6_xhigh.",tables/aggregate.csv; tables/episodes.csv; results.json,One training replicate; later studies use previously examined paired layouts.
single_no_runtime_API,Execution contract and audit,SinglePrior has one learned full-task policy per task and zero deployment API calls.,runs/exp2/single_policy_astra_xhigh/completion.json; METHODS.md,Offline API design still incurs cost.
drawer_regression,Measured task-specific result,Drawer ID success decreased from 29/30 in APPL 5.5 to 8/30 in APPL 6.,tables/results.csv; supporting_reports/DRAWER_ASTRA_REGRESSION.md,"Model, effort, segmentation, policies and total training changed together."
coverage_hypothesis,"Interpretation, not causal identification",Observed empty-gripper and failed-lift states support investigating missing recovery-state coverage.,supporting_reports/SCALEUP_ANALYSIS.md; supporting_reports/training_gripper_support.json,Finger width and height change do not establish contact or a unique failure cause.
agent_only_ablation_absent,Design limitation,SinglePrior versus APPL is not an isolated runtime-agent ablation.,METHODS.md; tables/compute.csv; tables/segmentation.csv,"Decomposition, model count, training windows and aggregate compute also differ."
terminal_semantics,Executed success contract,Main-matrix success requires simultaneous geometric predicates at one observation; release or stable settling is not required.,METHODS.md; tables/tasks.csv,Historical strict M0 results must remain separate.
